traceId,activity,timestamp,status,nodeType,poolName,instanceType
1,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,a
1,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,a
1,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,a
2,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,a
2,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,a
2,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,a
3,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,a
3,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,a
3,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,a
4,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,b
4,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,b
4,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,b
5,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,b
5,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,b
5,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,b
6,StartEvent_09cyjfc,2024-04-16 18:00:00,complete,startEvent,main,b
6,Gateway_01s1pgm,2024-04-16 18:00:00,complete,exclusiveGateway,main,b
6,Activity_10x08n3,2024-04-16 18:00:00,start,task,main,b
1,Activity_10x08n3,2024-04-16 18:00:10,assign,task,main,a
1,Activity_10x08n3,2024-04-16 18:00:20,complete,task,main,a
1,Gateway_1ngxc9b,2024-04-16 18:00:20,complete,parallelGatewayOpen,main,a
1,Activity_14rjj9v,2024-04-16 18:00:20,start,task,main,a
1,Activity_0uqn82h,2024-04-16 18:00:20,start,subProcess,main,a
1,Event_1njp3xz,2024-04-16 18:00:20,complete,startEvent,main,a
1,Activity_12afiek,2024-04-16 18:00:20,start,task,main,a
1,Event_0pg18xv,2024-04-16 18:00:20,complete,startEvent,second,a
1,Activity_182s0e0,2024-04-16 18:00:20,start,task,second,a
1,Activity_14rjj9v,2024-04-16 18:00:20,assign,task,main,a
1,Activity_14rjj9v,2024-04-16 18:00:21,complete,task,main,a
1,Activity_12afiek,2024-04-16 18:00:22,assign,task,main,a
1,Activity_12afiek,2024-04-16 18:00:24,complete,task,main,a
1,Event_1go337f,2024-04-16 18:00:24,complete,endEvent,main,a
1,Activity_0uqn82h,2024-04-16 18:00:24,complete,subProcess,main,a
1,Activity_1ijxuyk,2024-04-16 18:00:24,start,task,main,a
1,Activity_1ijxuyk,2024-04-16 18:00:24,assign,task,main,a
1,Activity_1ijxuyk,2024-04-16 18:00:26,complete,task,main,a
1,Activity_182s0e0,2024-04-16 18:00:26,assign,task,second,a
1,Activity_182s0e0,2024-04-16 18:02:06,complete,task,second,a
1,Event_016qlk7,2024-04-16 18:02:06,complete,intermediateThrowEvent,second,a
1,Event_0iqs5ri,2024-04-16 18:02:06,complete,endEvent/messageEventDefinition,second,a
1,Activity_0qykc8o,2024-04-16 18:02:06,start,task,main,a
2,Activity_10x08n3,2024-04-16 18:02:06,assign,task,main,a
2,Activity_10x08n3,2024-04-16 18:02:16,complete,task,main,a
2,Gateway_1ngxc9b,2024-04-16 18:02:16,complete,parallelGatewayOpen,main,a
2,Activity_14rjj9v,2024-04-16 18:02:16,start,task,main,a
2,Activity_0uqn82h,2024-04-16 18:02:16,start,subProcess,main,a
2,Event_1njp3xz,2024-04-16 18:02:16,complete,startEvent,main,a
2,Activity_12afiek,2024-04-16 18:02:16,start,task,main,a
2,Event_0pg18xv,2024-04-16 18:02:16,complete,startEvent,second,a
2,Activity_182s0e0,2024-04-16 18:02:16,start,task,second,a
2,Activity_14rjj9v,2024-04-16 18:02:16,assign,task,main,a
2,Activity_14rjj9v,2024-04-16 18:02:17,complete,task,main,a
2,Activity_12afiek,2024-04-16 18:02:18,assign,task,main,a
2,Activity_12afiek,2024-04-16 18:02:20,complete,task,main,a
2,Event_1go337f,2024-04-16 18:02:20,complete,endEvent,main,a
2,Activity_0uqn82h,2024-04-16 18:02:20,complete,subProcess,main,a
2,Activity_1ijxuyk,2024-04-16 18:02:20,start,task,main,a
2,Activity_1ijxuyk,2024-04-16 18:02:20,assign,task,main,a
1,Activity_0qykc8o,2024-04-16 18:02:20,assign,task,main,a
1,Activity_0qykc8o,2024-04-16 18:02:21,complete,task,main,a
1,Gateway_0xussxu,2024-04-16 18:02:21,complete,parallelGatewayOpen,main,a
1,Gateway_0a5f12j,2024-04-16 18:02:21,complete,exclusiveGateway,main,a
1,Event_1b9cqpn,2024-04-16 18:02:21,complete,endEvent,main,a
2,Activity_1ijxuyk,2024-04-16 18:02:22,complete,task,main,a
2,Activity_182s0e0,2024-04-16 18:02:22,startSetupTime,worn,second,a
2,Activity_182s0e0,2024-04-16 18:02:32,endSetupTime,worn,second,a
2,Activity_182s0e0,2024-04-16 18:02:32,assign,task,second,a
2,Activity_182s0e0,2024-04-16 18:04:12,complete,task,second,a
2,Event_016qlk7,2024-04-16 18:04:12,complete,intermediateThrowEvent,second,a
2,Event_0iqs5ri,2024-04-16 18:04:12,complete,endEvent/messageEventDefinition,second,a
2,Activity_0qykc8o,2024-04-16 18:04:12,start,task,main,a
3,Activity_10x08n3,2024-04-16 18:04:12,startSetupTime,worn,main,a
3,Activity_10x08n3,2024-04-16 18:04:22,endSetupTime,worn,main,a
